date,Close,High,Low,Open,Volume
2020-01-02,121.93697357177734,121.9787439406868,121.19350689268639,121.85343283395846,5777000
2020-01-03,120.5251693725586,121.435704404103,119.4559146527314,119.8735926759927,5752400
2020-01-06,120.37483215332031,120.45836012445851,119.33063691516355,120.29129143565821,7731300
2020-01-07,121.10992431640625,121.50254270477306,118.10264999171973,120.29962787628943,7382900
2020-01-08,121.09326171875,121.94531601553697,120.04070456332589,121.0180699601295,6605800
2020-01-09,121.45245361328125,121.9870811427545,121.11831618730763,121.76153136963315,6112700
2020-01-10,121.17677307128906,122.11236797298871,121.04311301489639,121.7531709112735,5042600
2020-01-13,121.71141815185547,121.78659716450179,120.89277249447834,121.52763873436908,4593200
2020-01-14,122.39642333984375,122.47160235670354,120.9011282452655,121.16844841169201,7037500
2020-01-15,122.80573272705078,123.13152119449168,122.1625175134664,122.29616484243536,4960300
2020-01-16,123.79981231689453,124.33443988742731,122.12909956566376,123.14823536363667,6476000
2020-01-17,124.61009216308594,124.81058225485994,123.57424580870772,123.97522599225574,9083600
2020-01-21,124.69367980957031,125.44549563020865,124.05045167629451,124.11728173203366,9543900
2020-01-22,123.84159851074219,124.61847392100884,121.96204642541895,122.5467934137694,10305300
2020-01-23,124.07544708251953,124.2759371458827,122.59686313820879,123.66611798309927,8671900
2020-01-24,123.90005493164062,124.42632074318581,123.57425373167223,124.11724298509372,9051900
2020-01-27,124.25924682617188,124.85235539428389,122.79737333409928,123.23176216934222,7587100
2020-01-28,124.88574981689453,125.77958705431678,123.75801386709564,124.01698499185618,7336600
2020-01-29,125.75447845458984,126.29746746719563,124.5766362585327,124.84394353296065,6288600
2020-01-30,125.60414123535156,125.72943954927806,124.50982680531925,125.328472198191,6470600
2020-01-31,124.3594741821289,125.30343077283868,124.16734582397063,125.09459172155061,8651700
2020-02-03,125.44544219970703,125.71276230880501,124.66856703237423,124.81892503384856,5765200
2020-02-04,126.6400375366211,127.60069231468373,126.30588732290519,126.54814782116513,6541400
2020-02-05,128.63653564453125,128.66159531661813,126.39777388139666,126.7402730619533,5979900
2020-02-06,128.25221252441406,129.0625089075033,127.59228685756368,128.8536698963261,6201200
2020-02-07,126.88226318359375,128.1937786442046,126.59824511131087,128.09352722429142,5700300
2020-02-10,126.85725402832031,126.89902440770616,126.04695710504919,126.70688321183722,4835600
2020-02-11,126.96578216552734,127.29157054477061,126.58986171165034,127.21637880608145,3715300
2020-02-12,126.21398162841797,127.09945727623865,126.07197258551518,126.86555852951341,5166800
2020-02-13,125.37860870361328,126.17219454243987,125.2031910400798,125.43708975580712,5480200
2020-02-14,125.41206359863281,125.83809078471188,124.5934051283245,125.77126074142993,5716300
2020-02-18,124.58504486083984,125.92162011228072,124.51821482361517,125.69607032996323,7230700
2020-02-19,124.41798400878906,125.102969627237,124.11725519552417,124.6435338053695,6115200
2020-02-20,123.94178771972656,124.78550558779733,123.13149123566113,124.1422777841888,7464700
2020-02-21,125.24495697021484,125.5039281158834,123.24845603419024,123.70790452292496,7776800
2020-02-24,122.66402435302734,125.2617309977309,122.10917065382827,123.16002410179581,10588900
2020-02-25,121.60479736328125,123.3702368894137,120.9154439366407,122.7313223930389,10529000
2020-02-26,120.78935241699219,122.92469486489347,120.71369400992198,122.19330460760027,10093800
2020-02-27,116.95585632324219,121.70572465404926,116.81294170190661,119.84780892106835,12566700
2020-02-28,113.05506896972656,115.41738662205026,109.97817832047261,113.79487426330816,19820300
2020-03-02,117.71245574951172,117.80493140715582,112.65994191574798,113.30727151925679,11508200
2020-03-03,113.98822021484375,118.52791672180109,111.89492747323585,117.69563582190735,13662500
2020-03-04,120.62123107910156,120.75574347996229,115.2913022661292,115.7452655842734,10560500
2020-03-05,119.38539123535156,119.94864732027914,117.56111061848934,118.36817196316167,11339200
2020-03-06,119.40221405029297,120.22607985775397,115.51826241588557,116.41778662011427,12239100
2020-03-09,114.70281219482422,117.42661741848785,113.40815294720029,114.61033653427965,13848600
2020-03-10,119.0743179321289,119.33492756224216,112.84485495738721,117.67037911702045,12698100
2020-03-11,110.8020248413086,116.64476927738984,110.5498173692019,116.0899154043161,17763400
2020-03-12,105.4300765991211,112.44977318356081,104.66505185627707,107.02736944813432,21539200
2020-03-13,112.89530944824219,113.42494381978821,104.79113261256764,108.71712692403733,20084200
2020-03-16,106.87602996826172,112.44975607897113,102.92482234186838,103.88320047106,18877900
2020-03-17,114.82888793945312,114.98021754997492,107.44769222258394,108.06980226085432,18911800
2020-03-18,113.45860290527344,114.05548075471393,108.2043332484752,110.14630926117874,17521100
2020-03-19,106.80879211425781,113.48381808655452,106.05217602947933,113.48381808655452,18482300
2020-03-20,100.78948974609375,107.13664930103678,99.30988579108681,106.6238321305043,19785100
2020-03-23,93.43350219726562,99.67136812338718,91.76895355433277,98.3599047787853,20815200
2020-03-24,100.1926040649414,100.58772611642122,95.72017058881912,99.83951873064551,17604800
2020-03-25,100.37757873535156,104.21109220370398,98.10773017074499,99.96564574940416,13986100
2020-03-26,106.40525817871094,106.85081918907247,101.20142781217253,101.36115965132213,15066800
2020-03-27,103.5385513305664,107.28799782627173,101.36958702336742,102.26911783720364,12133200
2020-03-30,111.81925964355469,112.64313835537682,107.18710016802909,107.9941616252939,21754000
2020-03-31,110.23876953125,114.0890993375941,109.33083032196403,113.48380653140346,15746100
2020-04-01,108.28837585449219,109.48214418261823,105.50571715954574,107.35521720554657,12606100
2020-04-02,111.93695068359375,112.65153645641739,106.95170601119031,108.54899878504688,11594500
2020-04-03,112.7944564819336,113.31567592904545,110.6170902062427,111.2896392905267,10071200
2020-04-06,117.49385070800781,118.51108277571403,113.94616744454967,115.18197247284363,14994400
2020-04-07,115.57709503173828,119.40220524013475,115.39214374586034,117.57792467288819,11567100
2020-04-08,120.43624877929688,121.16765175360511,115.4257849992496,115.80408980510266,10758200
