date,Close,High,Low,Open,Volume
2020-01-02,118.4303207397461,118.43872289287012,116.89422527279962,117.3391039109242,10803700
2020-01-03,116.86746978759766,117.61932738145413,115.8030460933789,116.15785399145182,10386800
2020-01-06,116.77454376220703,116.80834235675412,115.31307036252512,115.36375536395883,10259000
2020-01-07,114.789306640625,116.46197611772448,114.7386216398624,115.97199962637478,10531300
2020-01-08,115.68477630615234,116.22543779956246,114.55276831844789,114.63723902312606,9695300
2020-01-09,116.10717010498047,116.77454410982247,115.76924861043828,116.62248910506871,9469000
2020-01-10,114.9498062133789,115.94664550281222,114.7301540449112,115.9128598024863,10190900
2020-01-13,115.90438079833984,115.90438079833984,114.68788958090744,115.05115346212712,12355200
2020-01-14,117.256103515625,118.91187409122564,116.31839210634458,116.52958825356639,24906000
2020-01-15,115.49893188476562,117.08713078737144,115.01739855733767,116.45354244521118,16293400
2020-01-16,115.94664001464844,116.49574462905568,115.60027537337133,116.11559428905183,10783800
2020-01-17,116.74919128417969,116.825218779833,116.00578984270439,116.19163053528384,14697700
2020-01-21,115.60030364990234,116.63939782790237,115.47359113570137,115.89598337022196,8474200
2020-01-22,115.46513366699219,116.07337950869403,115.2117086416063,115.93822379195085,7549100
2020-01-23,115.34685516357422,115.51582235421289,113.80935427377966,114.64569546204845,9345700
2020-01-24,112.48303985595703,115.2539317097409,111.78188013408243,115.20324670723306,15166400
2020-01-27,111.53687286376953,112.30562968952641,109.57697994216662,110.05005709943677,12860500
2020-01-28,113.56436157226562,114.0205523703677,111.91703455775715,112.22115745969619,13062800
2020-01-29,113.39539337158203,114.50205874594496,112.93921551977509,113.88536981412163,9326000
2020-01-30,114.7977523803711,115.00050527828799,112.09444486008103,112.09444486008103,9048900
2020-01-31,111.81570434570312,113.90232360344032,111.06384647201101,113.6150998967246,12785200
2020-02-03,112.66889953613281,113.40387078330251,112.06910978692106,112.06910978692106,10021100
2020-02-04,114.29086303710938,115.39754130541041,114.11346555154266,114.5105152064203,9157100
2020-02-05,116.23389434814453,116.35216366058233,114.89913331326754,115.372223453407,10150700
2020-02-06,116.25077056884766,116.82521771796566,115.82837840965416,116.78298881435488,8992300
2020-02-07,115.87906646728516,116.30145863763629,115.14410821579771,115.50735929491438,6379800
2020-02-10,116.36062622070312,116.45355303495248,115.52428489245901,115.69323922098809,5960700
2020-02-11,116.5802230834961,117.27295233557959,116.39436952271195,116.79986234152086,6578600
2020-02-12,116.5802230834961,117.66998906229013,116.41126881652441,117.08709877479545,7958000
2020-02-13,116.47887420654297,116.86746780194984,115.22858404556325,116.36904811243872,7447500
2020-02-14,116.12406158447266,116.74075054621267,115.68477011633576,116.44507086969269,6627600
2020-02-18,114.58655548095703,116.3352653760463,114.08813577873441,116.02268638263615,8996400
2020-02-19,116.14942169189453,116.90972256051361,115.17791181489453,115.65944515130452,7071200
2020-02-20,116.14942169189453,116.88438005758552,115.33842292703119,115.8790844734774,7422800
2020-02-21,114.73017883300781,115.66789012687215,113.97832115705447,115.35532399238012,9772800
2020-02-24,111.6467056274414,112.52527570200228,110.49779836662393,111.03845984875059,13618400
2020-02-25,106.66248321533203,111.70584081437227,106.09647275271149,110.66675958180575,20797200
2020-02-26,106.98348999023438,108.9349397839674,106.73005210615779,107.22847822612356,24825600
2020-02-27,102.53146362304688,106.12179657630391,102.47232898515385,103.83243210188542,23005500
2020-02-28,98.08792114257812,100.09850577513045,95.17341742349757,99.27906384295936,45931400
2020-03-02,102.65821075439453,102.70890220769462,96.6940341800284,98.52721501872247,27355400
2020-03-03,98.80599212646484,103.86624936310947,98.19774626890069,102.19357970000215,32547700
2020-03-04,101.2474136352539,101.53464369575975,96.89677248922635,99.96334412499878,25795900
2020-03-05,96.28006744384766,98.35823604284742,95.10581778561436,97.71619817191649,25025600
