date,ticker,close,log_return,realized_vol_21d,volume_norm,forward_vol_5d
2020-02-03,AAPL,74.33516693115234,-0.0027503236670962136,0.2755967118019299,1.227699706769491,0.26220018616673735
2020-02-04,AAPL,76.78925323486328,0.03248054880152469,0.2925559155703944,0.9682657817893654,0.16707207703112315
2020-02-05,AAPL,77.41541290283203,0.00812119535830441,0.29259332794758924,0.8420574448719848,0.23163577991365575
2020-02-06,AAPL,78.32096099853516,0.011629374419080333,0.29241607569744743,0.7479606854837347,0.2311290323513471
2020-02-07,AAPL,77.25635528564453,-0.013686086838147865,0.29528459906447857,0.8390104461954733,0.19675676528538935
2020-02-10,AAPL,77.623291015625,0.004738342645745388,0.28784167130656363,0.796005449786232,0.24687702119868565
2020-02-11,AAPL,77.15496063232422,-0.006051648827887415,0.28915204592531446,0.6978316067338366,0.265529366340122
2020-02-12,AAPL,78.98721313476562,0.023470105031200977,0.29125035309416364,0.8437309498555686,0.19681678576258427
2020-02-13,AAPL,78.42476654052734,-0.007146203090665996,0.28784019867491756,0.7199977246084321,0.23866134105196776
2020-02-14,AAPL,78.4440689086914,0.00024609564042740717,0.2870307786905931,0.618144504198598,0.3610193835511351
2020-02-18,AAPL,77.00772857666016,-0.018480084920296885,0.29298331678925976,1.1583088049913277,0.38182694178759663
2020-02-19,AAPL,78.12299346923828,0.014378636190690387,0.29470718635077586,0.725201172865363,0.3896750111391937
2020-02-20,AAPL,77.321533203125,-0.010311940668127767,0.2961016224807916,0.7789307624476682,0.4964687488101119
2020-02-21,AAPL,75.57136535644531,-0.022895037155384695,0.3068354842944593,0.9933002904288174,0.5440327014444515
2020-02-24,AAPL,71.98169708251953,-0.048665566796771274,0.348121981682189,1.6333835496499538,0.9367663181455191
2020-02-25,AAPL,69.54350280761719,-0.03445938308254195,0.36462719849525266,1.6471959270462393,0.9317569199596162
2020-02-26,AAPL,70.64673614501953,0.015739414110512967,0.35907164826755017,1.3971141820456745,0.9837864758396483
2020-02-27,AAPL,66.02867889404297,-0.06760273419688233,0.4065693159948233,2.1473712814919006,0.8388863029604637
2020-02-28,AAPL,65.99005889892578,-0.0005850684056592297,0.3947877001234438,2.6771524051751627,0.8573137583737361
2020-03-02,AAPL,72.13379669189453,0.08901857398539591,0.5187229031311709,2.013710103810256,0.7307666817223984
2020-03-03,AAPL,69.84284973144531,-0.03227496750977741,0.507352869017776,1.8230191579043473,0.9691657451472505
2020-03-04,AAPL,73.0824966430664,0.045341179663389616,0.5344000904566162,1.2354568543315307,0.8822026857775873
2020-03-05,AAPL,70.7119369506836,-0.032974495954206026,0.5311170336964841,1.043037327912015,1.0762039259546896
2020-03-06,AAPL,69.77284240722656,-0.013369541325167808,0.5301915272212849,1.2229398037266335,1.5098887292159564
2020-03-09,AAPL,64.25434875488281,-0.08239545041205695,0.5898376769003051,1.481277377100024,1.7186680337968905
2020-03-10,AAPL,68.88207244873047,0.06954654109661962,0.6496977311826388,1.4154052557878363,1.6413015838512646
2020-03-11,AAPL,66.48976135253906,-0.035347976297762734,0.6565702258565032,1.2257469450495768,1.6384797364953516
2020-03-12,AAPL,59.923583984375,-0.10397782094097012,0.7368172862742852,1.8685154435268232,1.4690134252158233
2020-03-13,AAPL,67.10292053222656,0.11315741785729203,0.8483351016283469,1.569575756989268,1.0755085711538592
2020-03-16,AAPL,58.47034454345703,-0.13770787327705294,0.9603091878509232,1.3051443256284103,0.6208103826215955
2020-03-17,AAPL,61.041290283203125,0.043030830251417726,0.9795409238341632,1.252841234196935,0.9545368486151845
2020-03-18,AAPL,59.5469970703125,-0.024784657576285906,0.9803140972422758,1.130013301557947,0.9387788331473615
2020-03-19,AAPL,59.09074020385742,-0.007691635500305966,0.9757324101466807,0.9915988029256414,1.0031931955793048
2020-03-20,AAPL,55.33933639526367,-0.06559024912371111,0.9922527820785395,1.3923514233859842,0.8995917921410828
2020-03-23,AAPL,54.1636962890625,-0.021473109017296037,0.9921392039289806,1.1286549491070106,0.8378880085512574
2020-03-24,AAPL,59.59769058227539,0.09560595084336257,1.0558613938193127,0.9537394851265956,0.5651411209851781
2020-03-25,AAPL,59.26939392089844,-0.0055237746849779255,1.051816996858707,0.9955779863972926,0.7127513873780499
2020-03-26,AAPL,62.38831329345703,0.051284920855120236,1.0688302310774627,0.8197332149394777,0.5725154659593621
2020-03-27,AAPL,59.805301666259766,-0.042283657217921766,1.0539138718507128,0.6762567955993468,0.5061801209877553
2020-03-30,AAPL,61.51202774047852,0.028138415053236925,1.0600111286950673,0.5798888008923915,0.8027773335285633
2020-03-31,AAPL,61.38648986816406,-0.002042952485022918,1.0055723619378798,0.6966270861218341,0.8116320695205642
2020-04-01,AAPL,58.156524658203125,-0.05405169962677981,1.0150675718264572,0.6385365818306806,0.6289979977742748
2020-04-02,AAPL,59.12696075439453,0.016548932532573956,1.0005426405891096,0.6068458118368278,0.6355827708279879
2020-04-03,AAPL,58.2772216796875,-0.014475700870566306,0.9972583653942485,0.4798116302899642,0.5684887639224104
2020-04-06,AAPL,63.36118316650391,0.08364011278890114,1.0475138777416864,0.7487871467983991,0.35749572366008303
2020-04-07,AAPL,62.62731170654297,-0.011649948844104745,1.0092741006127093,0.7640651627357572,0.34478246353807956
2020-04-08,AAPL,64.23021697998047,0.025272297234409477,0.9814276466556747,0.6496121520797556,0.34500730347433156
2020-04-09,AAPL,64.69371795654297,0.0071903324039819675,0.9749829520157821,0.6333325382195065,0.40159136281438834
2020-04-13,AAPL,65.96351623535156,0.019437703032127253,0.90224472408349,0.5417729349224779,0.44653238130545403
2020-04-14,AAPL,69.29486083984375,0.0492689404187989,0.829582125348437,0.8351943605193933,0.23189467316306098
2020-04-15,AAPL,68.66239929199219,-0.009169013333602042,0.6598900662604645,0.5845600089514281,0.38105000844316245
2020-04-16,AAPL,69.20797729492188,0.007914402850690306,0.6472592314302003,0.7260358152789008,0.3627841907179733
2020-04-17,AAPL,68.2688980102539,-0.013661845147725152,0.6417212264101761,1.0135689646203272,0.43886540667085233
2020-04-20,AAPL,66.85187530517578,-0.020974934072221164,0.6470525355439476,0.6323265925472001,0.39832899449341114
2020-04-21,AAPL,64.78545379638672,-0.03139825587958665,0.609202483458101,0.9276653935021455,0.31948523469453116
2020-04-22,AAPL,66.6515121459961,0.028396634520910752,0.6037836828370409,0.632942804042605,0.33642759447584347
2020-04-23,AAPL,66.39320373535156,-0.00388303636859538,0.5180776115551268,0.7056245203367525,0.32591904806392497
2020-04-24,AAPL,68.30995178222656,0.028460765015864642,0.52261810797956,0.7490181062441217,0.34781296224906744
2020-04-27,AAPL,68.35823822021484,0.0007066229529577483,0.49706894606192986,0.7227322011690979,0.3520838364777381
