ticker,earnings_date,t0,ret_1d,label_1d,ret_3d,label_3d,transcript_date,sentiment_mean,sentiment_std,sentiment_min,pct_positive,pct_negative,prep_sentiment_mean,prep_sentiment_std,qa_sentiment_mean,qa_sentiment_std,qa_prep_delta,transcript_length,n_chunks_total
AAPL,2023-02-02,2023-02-02,0.024106965905334725,1,0.025077434845859347,1,2023-02-02,0.12045304609152178,0.3460526127900035,-0.5652511268854141,0.5833333333333334,0.16666666666666666,0.11393144286491654,0.5496192138055905,0.10071274179166981,0.09962939129585087,-0.013218701073246727,8422,24
AAPL,2024-10-31,2024-10-31,-0.013368577226782792,0,-0.010949150714515545,0,2024-10-31,0.1828174501657486,0.2637250269179552,-0.23567239940166473,0.6,0.06666666666666667,0.0020896047353744507,0.4740458508860233,0.16300975133975346,0.2669751590760854,0.160920146604379,5162,15
HD,2023-02-21,2023-02-21,0.0027037966690341077,1,0.003917842680915289,1,2023-02-21,0.2157383761541159,0.3815257791126808,-0.6593679636716843,0.6296296296296297,0.14814814814814814,0.39726633502339775,0.5408324557851638,0.1531214350286652,0.259430824523562,-0.24414489999473254,9371,27
HD,2023-05-16,2023-05-16,0.03501180241723974,1,0.02983408158765729,1,2023-05-16,0.07440832486775305,0.4095691381928281,-0.941420229151845,0.4642857142857143,0.17857142857142858,-0.047627569279736943,0.6949642110131812,0.09437136026099324,0.13359605685530793,0.14199892954073018,9830,28
HD,2023-08-15,2023-08-15,0.0026760348916882474,1,-0.014465546996187266,0,2023-08-15,0.056356701866856644,0.3728185189748435,-0.8967857919633389,0.42857142857142855,0.25,0.07300648310532172,0.6323550295444996,0.0871243268545521,0.22372060597445542,0.014117843749230377,9571,28
HD,2023-11-14,2023-11-14,0.014906764210013003,1,0.011917047360525167,1,2023-11-14,0.05020761805852609,0.3739078355750199,-0.9367230702191591,0.42857142857142855,0.17857142857142858,-0.14344345022820765,0.611948635668173,0.13782569256268049,0.1306615689160557,0.2812691427908881,9524,28
HD,2024-02-20,2024-02-20,0.004293127001674754,1,0.02556853738993556,1,2024-02-20,0.19440633211284875,0.4527199903172575,-0.6538896858692169,0.56,0.2,0.31092179084027355,0.6953809012466505,0.147171116966222,0.10266648576320832,-0.16375067387405154,8638,25
HD,2024-05-14,2024-05-14,0.02371085069647421,1,0.010836907467995621,1,2024-05-14,0.05048279919558101,0.49779955382356905,-0.9255621554329991,0.4444444444444444,0.2962962962962963,0.13052185469617447,0.7317845159863803,-0.04871117018370165,0.33428659815834244,-0.17923302487987613,9197,27
HD,2024-08-13,2024-08-13,0.015841937433224235,1,0.0336766225968493,1,2024-08-13,0.17751171005268893,0.2883401946429164,-0.35026203840970993,0.6296296296296297,0.1111111111111111,0.374395701309873,0.3899865401764858,0.0978989091494845,0.17696637491805747,-0.27649679216038847,9231,27
HD,2024-11-12,2024-11-12,0.0174853727826383,1,0.012573131207942744,1,2024-11-12,0.1307078156620264,0.5124032421130968,-0.8474783580750227,0.48,0.24,0.19909867665006054,0.7357333224743148,0.08236589789157733,0.3809071058429682,-0.1167327787584832,8740,25
MA,2023-01-26,2023-01-26,-0.008545601759318946,0,-0.017758215547185773,0,2023-01-26,0.3630396801625089,0.32781796724730555,0.008255265653133392,0.7586206896551724,0.0,0.6687658135779202,0.3098015685671942,0.18792258735953105,0.14650806439699418,-0.48084322621838915,9989,29
MA,2023-07-27,2023-07-27,-0.003911509650024329,0,0.00649338047574141,1,2023-07-27,0.34676300538382654,0.3436783465235861,-0.4329819530248642,0.7931034482758621,0.034482758620689655,0.6959663597358898,0.25620562159183036,0.14958057480139864,0.1867211041102679,-0.5463857849344912,9956,29
MA,2023-10-26,2023-10-26,-0.0013998099940858131,0,0.03174618558516945,1,2023-10-26,0.26155043073619405,0.38162313091243394,-0.6462686210870743,0.4666666666666667,0.03333333333333333,0.4900810160589489,0.6090593138442769,0.08378481943356364,0.06623053266208312,-0.40629619662538524,10250,30
MA,2024-01-31,2024-01-31,0.025689501103788266,1,0.016622980707767424,1,2024-01-31,0.31197089022025465,0.3258151105416156,-0.2033332660794258,0.7,0.03333333333333333,0.6159553916659206,0.30608479077085754,0.11164778456287949,0.12976330564332636,-0.5043076071030411,10311,30
MA,2024-05-01,2024-05-01,-0.0021965692354431634,0,0.016378420376416587,1,2024-05-01,0.36202578333516916,0.29295720198417796,0.0233783982694149,0.7666666666666667,0.0,0.6915734992785887,0.19132562699296005,0.15784433283107846,0.09072097411808717,-0.5337291664475102,10384,30
MA,2024-07-31,2024-07-31,-0.0028073234767375184,0,-0.047949461708287636,0,2024-07-31,0.34462415482848885,0.31184343692767275,0.013386253267526627,0.8333333333333334,0.0,0.6226818315529575,0.3193497341425388,0.14366839938846074,0.10600650415780602,-0.47901343216449677,10447,30
MA,2024-10-31,2024-10-31,0.01685115885883064,1,0.011878962168988389,1,2024-10-31,0.34155761819953717,0.3023139919357902,-0.011840417981147766,0.7666666666666667,0.0,0.6503650957718492,0.2424735787004926,0.20302165104076267,0.20523415567552308,-0.44734344473108656,10225,30
MSFT,2023-01-24,2023-01-24,-0.00592567919823711,0,0.02497068898943939,1,2023-01-24,-0.056757267116120565,0.5325964219764673,-0.965808879584074,0.48148148148148145,0.2962962962962963,-0.16759155067848042,0.6747269341963394,0.12300160222432831,0.14027736256368323,0.29059315290280874,9181,27
